pincode,code,type,type_encode,rent_per_sqft,district,statename,latitude,longitude,urban,nearest_airport_km,nearest_airport_name,pincode_population,area_km2,population_density,male_population,female_population,state_gdp,state_population,pincode_gdp
211001,U02,Branch,1,45.94,PRAYAGRAJ,UTTAR PRADESH,25.45347,81.82738,1.0,4.341972812730731,Prayagraj Helipad,185698.0,14.74,12598.236092265945,100939.0,84759.0,25479.0,225257355.0,21.004416668214898
221010,U130,Branch,1,22.5,VARANASI,UTTAR PRADESH,25.6682778,82.9965833,1.0,27.696997298484405,Varanasi Airport (VNS/VIBN),254073.0,11.83,21477.00760777684,133621.0,120452.0,25479.0,225257355.0,28.738355588877443
221011,U04,Branch,1,17.73,VARANASI,UTTAR PRADESH,25.281,82.979,0.0,3.2721543257806887,BHU Airfield,157220.0,69.48,2262.809441565918,82673.0,74547.0,25479.0,225257355.0,17.783252316000958
224001,U26,Branch,1,45.8,AYODHYA,UTTAR PRADESH,26.571617,82.417008,1.0,20.40814513962063,Akbarpur Airport,353005.0,241.49,1461.7789556503374,180248.0,172757.0,25479.0,225257355.0,39.928615849191694
225001,U135,Branch,1,25.01,BARABANKI,UTTAR PRADESH,26.9296944,81.1981667,1.0,29.33265503175812,Lucknow Helipad,193248.0,79.03,2445.248639757054,100982.0,92266.0,25479.0,225257355.0,21.858401879929737
226002,U43,Hub,0,19.95,LUCKNOW,UTTAR PRADESH,26.784166,81.042288,0.0,11.676065962385527,Lucknow Helipad,121049.0,35.08,3450.655644241733,63024.0,58025.0,25479.0,225257355.0,13.691927932830428
226002,U139,Branch,1,19.0,LUCKNOW,UTTAR PRADESH,26.784166,81.042288,0.0,11.676065962385527,Lucknow Helipad,121049.0,35.08,3450.655644241733,63024.0,58025.0,25479.0,225257355.0,13.691927932830428
226006,U48,Branch,1,83.38,LUCKNOW,UTTAR PRADESH,26.86875,80.95875,0.0,6.3684232126744735,Lucknow Helipad,55048.0,5.01,10987.624750499002,28661.0,26387.0,25479.0,225257355.0,6.226513633705767
226010,U143,Branch,1,30.07,LUCKNOW,UTTAR PRADESH,26.867149,80.003078,0.0,44.80970974786215,Kalyanpur Airport,397392.0,89.16,4457.0659488559895,206907.0,190485.0,25479.0,225257355.0,44.94925711970648
228001,U78,Branch,1,38.18,SULTANPUR,UTTAR PRADESH,26.202094,82.062936,1.0,5.444721165165144,Sultanpur,362251.0,212.74,1702.7874400676883,182521.0,179730.0,25479.0,225257355.0,40.97443667932619
241001,U95,Branch,1,40.52,MATHURA,UTTAR PRADESH,27.47,77.69,1.0,0.9851944504626192,Mathura Heliport,1091722.0,1475.44,739.9297836577563,585095.0,506627.0,25479.0,225257355.0,123.4853567289734
243502,U15,Branch,1,25.43,BAREILLY,UTTAR PRADESH,28.96857,79.68778,0.0,22.03231252900683,Pantnagar Airport (PGH/VIPT),297559.0,105.71,2814.8614133005394,157426.0,140133.0,25479.0,225257355.0,33.65708418710679
244001,U14,Branch,1,33.92,MORADABAD,UTTAR PRADESH,28.83,78.77,1.0,3.642996578126717,Moradabad Circuit House Helipad,935478.0,210.29,4448.5139569166395,489626.0,445852.0,25479.0,225257355.0,105.812500382063
244713,U27,Branch,1,17.2,UDAM SINGH NAGAR,UTTARAKHAND,29.67,79.84,1.0,39.50770444443943,Pithorgarh Airport (VIDF),351250.0,330.95,1061.3385707810849,184117.0,167133.0,3462.0,12337009.0,98.56744856066815
